                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9178,                 2.6637,                 1.2447,                      0,                      0,                      0,                      0,                 1.9839,                 4.6367,                 1.4466,                 0.0883,                 0.0013,                 0.0013
                      2,                 1.8801,                 1.4034,                 1.2335,                      0,                      0,                      0,                      0,                 1.6129,                 4.2835,                 1.3232,               0.075522,              0.0025218,              0.0025218
                      3,                 1.7892,                 1.1431,                 1.1642,                0.00255,                0.73684,                0.00245,                0.00106,                 1.9795,                 139.18,                 1.3949,               0.062559,              0.0035588,              0.0035588
                      4,                 1.6929,                 1.0424,                 1.1442,                0.00255,                0.73684,                0.00245,                0.00106,                 3.6543,                  81231,                 4.3898,               0.049411,               0.004411,               0.004411
                      5,                  1.646,                0.90543,                  1.162,                0.00255,                0.73684,                0.00245,                0.00106,                  3.849,             1.5098e+05,                 13.158,               0.036078,              0.0050784,              0.0050784
                      6,                 1.6659,                  1.012,                 1.2102,                0.00255,                0.73684,                0.00245,                0.00106,                 4.0368,              2.942e+05,                 27.311,               0.022561,               0.005561,               0.005561
                      7,                 1.6189,                0.98432,                  1.209,                0.00255,                0.73684,                0.00245,                0.00106,                 5.6091,             1.6407e+05,                 21.732,              0.0088588,              0.0058588,              0.0058588
                      8,                 1.5467,                0.90117,                   1.21,                0.00255,                0.73684,                0.00245,                0.00106,                 4.6317,                  49778,                 5.0721,                0.00538,                0.00538,                0.00538
                      9,                 1.6009,                 0.8485,                 1.2283,                  0.003,                0.57895,                0.00224,                0.00114,                 1.6163,                 644.31,                 1.2322,                0.00472,                0.00472,                0.00472
                     10,                 1.5052,                0.79148,                 1.1327,                0.94896,                0.97929,                 0.9925,                 0.4871,                 1.7336,                 1.8151,                 1.3022,                0.00406,                0.00406,                0.00406
                     11,                 1.5904,                0.80824,                  1.175,                0.94951,                 0.9902,                  0.974,                 0.4606,                 1.6909,                 1.7446,                 1.1554,                 0.0034,                 0.0034,                 0.0034
                     12,                 1.4911,                0.80105,                 1.1125,                0.99065,                      1,                  0.995,                0.51256,                  1.513,                 1.5101,                 1.1185,                0.00274,                0.00274,                0.00274
                     13,                 1.5141,                0.79885,                  1.145,                0.99857,                      1,                  0.995,                0.53943,                 1.6031,                 1.1609,                 1.1147,                0.00208,                0.00208,                0.00208
                     14,                 1.4482,                0.75477,                 1.1109,                0.99639,                      1,                  0.995,                 0.5268,                 1.6478,                0.89589,                 1.1248,                0.00142,                0.00142,                0.00142
                     15,                  1.378,                0.69207,                  1.076,                0.99589,                      1,                  0.995,                0.54409,                 1.5715,                0.86051,                  1.119,                0.00076,                0.00076,                0.00076
