                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 2.3538,                0.97509,                 2.1405,                0.99059,                0.94845,                0.98775,                0.68119,                 2.2272,                0.75221,                 2.2751,                0.00307,                0.00307,                0.00307
                     37,                 2.3278,                0.97078,                  2.166,                0.96372,                0.91753,                0.98046,                0.68332,                 2.2357,                0.78782,                 2.2792,               0.002872,               0.002872,               0.002872
                     38,                 2.3419,                0.93372,                 2.1533,                0.98926,                0.94917,                 0.9877,                0.68859,                  2.212,                0.72128,                 2.2473,               0.002674,               0.002674,               0.002674
                     39,                  2.329,                0.95815,                 2.1544,                0.96709,                0.97938,                0.98382,                0.69195,                  2.191,                0.71746,                 2.2418,               0.002476,               0.002476,               0.002476
                     40,                 2.2772,                0.94495,                 2.1325,                0.96503,                0.97938,                0.98849,                0.69473,                 2.1901,                0.71455,                  2.242,               0.002278,               0.002278,               0.002278
                     41,                 2.2371,                0.84369,                 2.2079,                0.95717,                0.96907,                0.98505,                0.68549,                 2.1502,                0.74523,                 2.2231,                0.00208,                0.00208,                0.00208
                     42,                  2.241,                0.81159,                  2.209,                0.96486,                0.96907,                0.98848,                0.70409,                 2.1023,                0.70736,                 2.2176,               0.001882,               0.001882,               0.001882
                     43,                 2.2236,                0.80404,                 2.2103,                0.96962,                0.98723,                0.98817,                0.69788,                 2.2632,                0.71239,                 2.2574,               0.001684,               0.001684,               0.001684
                     44,                 2.1866,                0.78461,                 2.1821,                0.97943,                0.98969,                0.99067,                0.70805,                 2.0952,                0.67652,                 2.1874,               0.001486,               0.001486,               0.001486
                     45,                 2.1795,                0.77551,                 2.1844,                0.97888,                0.97938,                0.98799,                0.70197,                 2.1334,                0.68726,                 2.1801,               0.001288,               0.001288,               0.001288
                     46,                 2.1592,                0.77719,                 2.1698,                0.95844,                0.98969,                0.98763,                0.70372,                 2.1575,                 0.7501,                 2.2053,                0.00109,                0.00109,                0.00109
                     47,                 2.1888,                0.77275,                 2.1885,                0.94364,                0.97938,                0.98664,                0.70109,                 2.1462,                  0.703,                 2.2138,               0.000892,               0.000892,               0.000892
                     48,                 2.1437,                0.76566,                 2.1794,                0.96966,                0.98852,                 0.9897,                0.71674,                 2.1176,                0.65355,                 2.1887,               0.000694,               0.000694,               0.000694
                     49,                 2.1278,                0.76568,                 2.1591,                0.97494,                0.97938,                0.98941,                0.71264,                 2.0883,                0.68351,                 2.1951,               0.000496,               0.000496,               0.000496
                     50,                 2.1263,                0.73453,                 2.1408,                0.96936,                0.97859,                0.98986,                 0.7111,                 2.1136,                0.65478,                 2.1913,               0.000298,               0.000298,               0.000298
